the facts get in the way
Basic
0.6 0.6
432 172.8
Stationary 359.8325 221 306 -0.3217593 0.3819445
Stationary 359.8713 221 306 -0.3217593 0.3819445
Moved 359.9031 211.4553 293.9106 -0.3438535 0.3119828
Moved 359.9351 205.8853 282.7706 -0.356747 0.2475152
Moved 359.966 202.684 274.052 -0.3641574 0.1970602
Moved 359.9982 200.1864 268.1863 -0.369939 0.1631154
Moved 360.0306 199 260.2576 -0.3726852 0.1172313
Moved 360.0644 199 256.3644 -0.3726852 0.09470163
Moved 360.0984 210.099 251.2252 -0.3469931 0.06496076
Moved 360.13 215.3484 249.2172 -0.3348416 0.05334007
Moved 360.1622 224.5 246.5 -0.3136574 0.03761592
Moved 360.2046 258.6011 251.6207 -0.2347197 0.06724958
Moved 360.2518 290.8553 264.4457 -0.1600572 0.1414684
Moved 360.2846 302.9917 269.2479 -0.1319636 0.169259
Moved 360.3169 318.0575 275.0192 -0.09708907 0.2026572
Moved 360.3488 327.2942 279.6471 -0.07570798 0.2294392
Moved 360.3849 342.7271 287.1514 -0.03998349 0.2728671
Moved 360.4232 352.0096 292.6731 -0.01849626 0.3048214
Moved 360.4563 362.3994 297.6997 0.005554258 0.3339103
Moved 360.4919 375.811 302.937 0.03659944 0.364219
Moved 360.5261 381.4034 305.7017 0.04954497 0.3802183
Moved 360.58 386.3836 308.3837 0.0610732 0.395739
Ended 360.6104 391.8806 310.2935 0.0737976 0.4067912
PhraseEnd 361.3
a problem with the engine
Basic
0.6 0.6
432 326.4
Began 940.9102 170 369 -0.4398148 0.003063726
Ended 940.9763 170 369 -0.4398148 0.003063726
Began 941.5394 532 426 0.3981481 0.1776961
Stationary 941.6085 532 426 0.3981481 0.1776961
Stationary 941.6701 532 426 0.3981481 0.1776961
Stationary 941.7314 532 426 0.3981481 0.1776961
Moved 941.7889 455.3146 440.8451 0.2206356 0.2231774
Moved 941.8554 370.3882 453.1343 0.0240467 0.2608283
Moved 941.9198 316.9312 457 -0.09969632 0.2726716
Moved 941.9807 310.5 459.5 -0.1145833 0.2803309
Moved 942.0438 350.4773 464.3731 -0.02204324 0.2952607
Moved 942.1049 463.6465 468 0.2399224 0.3063726
Moved 942.1641 499.6644 469 0.3232972 0.3094364
Moved 942.2239 511.2414 459.0688 0.3500958 0.27901
Moved 942.2867 469.6359 390.9538 0.2537867 0.07032409
Moved 942.3666 390.3573 291.9798 0.07027149 -0.232905
Moved 942.4375 371.1853 265.1852 0.02589186 -0.3149961
Moved 942.4982 367 258.876 0.01620372 -0.3343259
Moved 942.558 371.5067 259 0.02663573 -0.333946
Moved 942.6225 432.8862 302.7669 0.168718 -0.1998562
Moved 942.6849 490.7831 337.7394 0.3027385 -0.09270996
Moved 942.749 510.5686 354.1373 0.3485384 -0.04247161
Moved 942.8088 512 359.6534 0.3518519 -0.02557156
Moved 942.8688 429.2352 392.0846 0.1602668 0.07378859
Moved 942.9321 361.8625 430.4136 0.004311203 0.1912182
Moved 943.0283 279.9336 483.3776 -0.1853389 0.3534853
Moved 943.0905 261.3947 492.3027 -0.228253 0.3808293
Moved 943.1529 254.5696 492 -0.2440518 0.379902
Moved 943.2164 264.7523 463.2477 -0.2204809 0.291813
Moved 943.2782 309.1548 388.5523 -0.1176973 0.06296667
Moved 943.3463 355.0525 323.7822 -0.01145259 -0.1354713
Moved 943.4099 399.0621 265.9379 0.09042163 -0.3126903
Moved 943.4764 425.4381 237.5619 0.1514771 -0.3996266
Moved 943.5359 434.9545 230.0227 0.1735057 -0.4227246
Ended 943.5956 439.5 229 0.1840278 -0.4258578
Began 943.8915 188 477 -0.3981482 0.3339461
Moved 943.9617 205.8645 477 -0.3567952 0.3339461
Moved 944.018 263.9405 477 -0.22236 0.3339461
Moved 944.076 319.4518 477 -0.09386148 0.3339461
Moved 944.1378 372.166 477 0.0281619 0.3339461
Moved 944.2012 417.8181 477 0.1338381 0.3339461
Moved 944.2689 445.3016 466.2328 0.1974574 0.3009584
Moved 944.3319 452.5 462.5 0.2141203 0.2895221
