the facts get in the way
Basic
0.4 0.4
288 217.6
Moved 510.5887 335.3752 429.3752 -0.08550272 0.2820554
Moved 510.6556 306.9059 399.2078 -0.1843547 0.1434184
Moved 510.6952 299.8363 390.2544 -0.2089019 0.1022721
Moved 510.7321 289.8214 379.4107 -0.2436756 0.05243891
Moved 510.7688 285.5472 373.0945 -0.2585165 0.02341215
Moved 510.8055 281.6797 369.6796 -0.2719457 0.007719013
Moved 510.842 278 363.7068 -0.2847222 -0.01972942
Moved 510.8784 274.8419 361.8419 -0.2956879 -0.02830029
Moved 510.9151 274 359.9729 -0.2986111 -0.03688925
Moved 510.9511 273 358.5 -0.3020833 -0.04365809
Moved 510.9867 271.8841 359 -0.305958 -0.04136016
Ended 511.0452 272 357.7456 -0.3055556 -0.04712498
Began 511.492 356 363 -0.01388892 -0.02297794
Stationary 511.5374 356 363 -0.01388892 -0.02297794
Stationary 511.5783 356 363 -0.01388892 -0.02297794
Stationary 511.6156 356 363 -0.01388892 -0.02297794
Stationary 511.6522 356 363 -0.01388892 -0.02297794
Moved 511.6891 342.4783 372.0435 -0.06083936 0.01858206
Moved 511.7263 337.9334 377.0666 -0.07662013 0.04166618
Moved 511.7657 331.6547 388.0359 -0.0984212 0.09207712
Moved 511.8094 326.356 395.644 -0.1168194 0.1270405
Moved 511.8488 324.7856 399.2144 -0.1222723 0.1434485
Moved 511.8975 320.5 406 -0.1371527 0.1746323
Moved 511.9401 315.5 411 -0.1545139 0.1976103
Moved 511.9916 309.4361 415.7819 -0.175569 0.2195862
Moved 512.0307 304.9165 421.0836 -0.1912622 0.2439502
Moved 512.0713 300.9868 425.0132 -0.2049071 0.2620094
Moved 512.1104 298.1151 426 -0.2148782 0.2665441
Moved 512.1478 294.8195 429 -0.2263213 0.280331
Moved 512.1874 294 431.72 -0.2291667 0.2928308
Moved 512.2311 292 434.5 -0.2361111 0.3056067
Moved 512.2679 291 436.5 -0.2395833 0.3147979
Moved 512.3048 291 438.3729 -0.2395833 0.3234048
Moved 512.3417 291 439.1371 -0.2395833 0.3269171
Moved 512.4009 300.9702 444.1078 -0.2049647 0.3497601
Moved 512.4443 311.3455 446 -0.1689394 0.3584559
Moved 512.4828 317.9382 447.3127 -0.146048 0.3644887
Moved 512.5228 324.5615 447 -0.1230505 0.3630516
Moved 512.5632 331.5824 448 -0.09867221 0.3676471
Moved 512.6024 334.4538 448 -0.08870207 0.3676471
Moved 512.6411 338.3878 448 -0.07504217 0.3676471
Moved 512.6794 339.3729 448 -0.07162191 0.3676471
Ended 512.7213 341.1292 448 -0.06552369 0.3676471
Began 512.9366 470 438 0.3819445 0.3216912
Stationary 512.9737 470 438 0.3819445 0.3216912
Stationary 513.0099 470 438 0.3819445 0.3216912
Stationary 513.0455 470 438 0.3819445 0.3216912
Moved 513.0811 460.0043 428.0043 0.347237 0.2757549
Moved 513.1191 448.5298 413.7064 0.307395 0.2100477
Moved 513.1556 441.0995 402.4991 0.2815953 0.1585437
Moved 513.1942 427.6125 386.9188 0.2347659 0.0869432
Moved 513.2316 419.8703 377.3055 0.207883 0.0427643
Moved 513.2722 410.3981 361.3302 0.1749936 -0.0306518
Moved 513.3141 402.1971 349.3941 0.1465176 -0.0855049
Moved 513.3519 395.5932 337.5932 0.1235876 -0.1397371
Moved 513.3925 392.5797 332.5797 0.1131238 -0.1627773
Moved 513.4365 388.5 324 0.09895831 -0.2022058
Moved 513.4739 385.5 317.5 0.08854166 -0.2320771
Moved 513.5117 383.6413 312.2825 0.08208767 -0.2560546
Moved 513.5518 382 307.3399 0.07638887 -0.2787688
Moved 513.5897 381 303.5 0.0729166 -0.2964155
Moved 513.6264 380 300.9553 0.06944448 -0.3081099
Moved 513.6677 379 297.8256 0.06597222 -0.3224926
Moved 513.7302 378 295.7815 0.06249995 -0.3318867
Moved 513.7723 378 293.751 0.06249995 -0.3412177
Ended 513.809 378 294 0.06249995 -0.3400736
Began 514.0756 308 458 -0.1805556 0.4136029
Stationary 514.1215 308 458 -0.1805556 0.4136029
Stationary 514.1595 308 458 -0.1805556 0.4136029
Moved 514.201 312.8341 452.5616 -0.1637705 0.3886105
Moved 514.2408 324.7262 436.365 -0.1224784 0.3141773
Moved 514.2829 331.2644 426.226 -0.09977647 0.2675828
Moved 514.3215 340.4666 412.8 -0.06782413 0.2058827
Moved 514.3615 345.2083 404.7917 -0.05135991 0.1690795
Moved 514.3996 351.6781 394.6437 -0.02889537 0.1224437
Moved 514.4373 355.4268 387.7197 -0.0158792 0.09062347
Moved 514.482 363.4587 377.8119 0.01200944 0.04509155
Moved 514.5211 369.7327 367.8018 0.03379419 -0.0009107591
Moved 514.5701 373 359.931 0.0451389 -0.03708167
Moved 514.6072 374.9032 358.0969 0.05174711 -0.04551088
Moved 514.644 376 354.5 0.05555556 -0.06204031
