the facts get in the way
Basic
0.4 0.4
288 217.6
Began 1723.691 253 459 -0.3715278 0.4181986
Stationary 1723.755 253 459 -0.3715278 0.4181986
Stationary 1723.811 253 459 -0.3715278 0.4181986
Stationary 1723.866 253 459 -0.3715278 0.4181986
Stationary 1723.922 253 459 -0.3715278 0.4181986
Stationary 1723.981 253 459 -0.3715278 0.4181986
Moved 1724.043 246 445.6925 -0.3958333 0.3570429
Moved 1724.104 243 438.9581 -0.40625 0.326094
Moved 1724.167 241 430.0955 -0.4131945 0.2853652
Moved 1724.229 238.8173 417.4519 -0.4207734 0.2272606
Moved 1724.303 236.9969 399.9938 -0.4270942 0.1470304
Moved 1724.365 237 389.131 -0.4270833 0.09710972
Moved 1724.443 236 380.3909 -0.4305556 0.05694362
Moved 1724.503 236 374.9863 -0.4305556 0.03210643
Moved 1724.562 236 371.6888 -0.4305556 0.01695212
Moved 1724.629 243.8019 367 -0.4034656 -0.004595448
Moved 1724.688 246 362.4848 -0.3958333 -0.02534544
Moved 1724.75 249 357.7591 -0.3854167 -0.04706299
Moved 1724.81 256.8682 353.3773 -0.3580965 -0.06719997
Moved 1724.872 282.7813 351 -0.2681203 -0.07812515
Moved 1724.935 311.6955 376.9129 -0.1677241 0.04096017
Moved 1724.998 328.054 395.054 -0.1109236 0.1243291
Moved 1725.095 340.7604 409.7604 -0.06680414 0.1919135
Moved 1725.157 347.1466 416.1467 -0.04462972 0.2212622
Moved 1725.219 354.7698 421.8849 -0.01816042 0.2476328
Moved 1725.278 362.5641 426 0.008902998 0.2665441
Moved 1725.34 369.0126 430.0126 0.03129363 0.2849844
Moved 1725.398 375.2937 432 0.05310327 0.2941177
Moved 1725.46 379 433.785 0.06597222 0.3023207
Moved 1725.521 381.0191 435 0.07298291 0.3079045
Moved 1725.584 383.5 436 0.08159727 0.3125
Moved 1725.644 385.081 439.0809 0.08708671 0.3266587
Ended 1725.741 386 440 0.09027779 0.3308824
PhraseEnd 1728.786
