the facts get in the way
Basic
0.8 0.8
575.9999 435.2
Moved 824.7292 418.6154 351.3846 0.1017629 -0.03817881
Moved 824.7706 421.9088 347.0912 0.1074805 -0.04804415
Moved 824.8126 422 345.626 0.1076389 -0.05141076
Stationary 824.8531 422 346 0.1076389 -0.05055147
Moved 824.9232 316.332 418.7048 -0.07581245 0.1165093
Moved 824.9634 281.414 448.586 -0.1364341 0.1851701
Moved 825.0026 261.355 467.645 -0.1712587 0.2289638
Moved 825.0423 243.7539 486.2461 -0.2018162 0.2717052
Moved 825.0821 231.1485 498.8516 -0.2237006 0.30067
Moved 825.1223 221.1563 507.9218 -0.2410481 0.3215116
Moved 825.1605 217 511.5 -0.2482639 0.3297335
Moved 825.1992 214 515.7695 -0.2534722 0.339544
Moved 825.2407 213 517 -0.2552083 0.3423713
Moved 825.2801 212 518 -0.2569445 0.3446691
Moved 825.342 212 519 -0.2569445 0.346967
Stationary 825.3815 212 519 -0.2569445 0.346967
Ended 825.4194 212 519 -0.2569445 0.346967
Began 825.851 183 504 -0.3072917 0.3125001
Stationary 825.8987 183 504 -0.3072917 0.3125001
Stationary 825.9375 183 504 -0.3072917 0.3125001
Stationary 825.9767 183 504 -0.3072917 0.3125001
Stationary 826.0161 183 504 -0.3072917 0.3125001
Stationary 826.0552 183 504 -0.3072917 0.3125001
Moved 826.0938 174.076 495.076 -0.3227848 0.2919945
Moved 826.1374 165.3924 483.0886 -0.3378604 0.26445
Moved 826.1804 157 464 -0.3524306 0.2205883
Moved 826.2239 150.8181 431.8633 -0.363163 0.1467447
Moved 826.2661 147.5402 409.7814 -0.3688538 0.0960051
Moved 826.3055 146 382.9229 -0.3715278 0.03428971
Moved 826.3603 145 366.8679 -0.3732639 -0.002601287
Moved 826.402 144 358.9916 -0.375 -0.02069936
Moved 826.4415 144 357 -0.375 -0.02527574
Moved 826.4837 152.6531 357 -0.3599773 -0.02527574
Moved 826.5269 198.0625 386.7891 -0.2811415 0.0431734
Moved 826.5692 253.661 425.1074 -0.1846163 0.131221
Moved 826.6106 297.2376 454.0553 -0.1089624 0.1977374
Moved 826.6488 325.3474 471.5649 -0.06016076 0.2379709
Moved 826.6882 354.522 484.5073 -0.009510368 0.2677099
Moved 826.7252 365.3768 488.1256 0.009334759 0.276024
Moved 826.7863 373.5404 492 0.02350762 0.2849265
Moved 826.8239 375 493 0.02604165 0.2872243
Moved 826.8613 376.1388 494.1388 0.02801866 0.289841
Moved 826.9004 377.2332 494 0.0299187 0.2895221
Moved 826.9382 377 495.5 0.02951391 0.2929688
Moved 826.9764 378.1266 495 0.03146984 0.2918199
Stationary 827.0145 378 495 0.03124997 0.2918199
Stationary 827.0519 378 495 0.03124997 0.2918199
Moved 827.0885 378 496.3201 0.03124997 0.2948532
Ended 827.1299 378 496 0.03124997 0.2941177
PhraseEnd 828.2491
