watch out for low flying objects
Basic
0.6 0.6
432 326.4
Stationary 1075.694 515 461 0.3587963 0.2849264
Stationary 1075.744 515 461 0.3587963 0.2849264
Moved 1075.789 506.4168 446.6355 0.3389278 0.2409176
Moved 1075.837 494.7811 417.3433 0.3119933 0.1511742
Moved 1075.89 476.5826 379.9709 0.269867 0.03667551
Moved 1075.937 465.6608 352.7621 0.2445853 -0.0466846
Moved 1075.988 454.7549 325.3464 0.2193401 -0.1306787
Moved 1076.034 444.2191 295.6573 0.1949517 -0.221638
Moved 1076.081 438.3518 279.3795 0.1813699 -0.2715089
Moved 1076.13 437 268.3823 0.1782407 -0.3052011
Moved 1076.177 436 260.978 0.1759259 -0.327886
Moved 1076.226 435 256.6743 0.1736111 -0.3410714
Moved 1076.279 433 252.459 0.1689814 -0.353986
Moved 1076.326 427.4284 247.8568 0.1560843 -0.3680857
Moved 1076.371 419.6528 241.3264 0.1380853 -0.3880931
Moved 1076.414 408.3855 234.257 0.1120034 -0.4097519
Moved 1076.483 394.5 228.5 0.07986108 -0.4273897
Moved 1076.527 387.8354 225.4177 0.06443371 -0.436833
Moved 1076.57 381.1142 223 0.04887541 -0.4442402
Moved 1076.62 377.1805 222 0.03976981 -0.4473039
Moved 1076.671 373 221 0.0300926 -0.4503677
Moved 1076.719 370.5 221 0.02430558 -0.4503677
Moved 1076.766 377.6816 241.8577 0.04092972 -0.3864655
Moved 1076.811 416.682 324.7051 0.1312084 -0.1326438
Moved 1076.858 443.1541 393.6162 0.1924862 0.07848109
Moved 1076.904 449.3685 408.7369 0.2068714 0.1248069
Moved 1076.975 451 413.7851 0.2106482 0.140273
Moved 1077.023 451 419.5 0.2106482 0.1577819
Moved 1077.07 431.5 427.5 0.1655093 0.1822917
Moved 1077.118 390.6332 437.8185 0.07091025 0.2139048
Moved 1077.166 351.2813 442.7465 -0.02018213 0.2290028
Moved 1077.215 313.5381 449.1027 -0.1075508 0.2484763
Moved 1077.263 285.8481 454.0217 -0.171648 0.263547
Moved 1077.311 265.0188 456.3271 -0.2198639 0.27061
Moved 1077.357 252.731 457 -0.2483079 0.2726716
Moved 1077.403 247.5 458.5 -0.2604167 0.2772671
Moved 1077.482 244.5 458 -0.2673611 0.2757353
Moved 1077.53 244 447.2426 -0.2685185 0.2427777
Moved 1077.578 244 397.0895 -0.2685185 0.08912218
Moved 1077.626 263.3919 351.3602 -0.2236298 -0.05097988
Moved 1077.678 270.7602 323.6784 -0.2065736 -0.1357892
Moved 1077.729 277.1435 301.5695 -0.1917975 -0.2035248
Moved 1077.794 280.8789 292.1211 -0.1831508 -0.2324722
Moved 1077.844 282.8414 289.1586 -0.1786079 -0.2415483
Moved 1077.893 287.1449 288 -0.1686461 -0.2450981
Moved 1077.941 297.4478 299.9852 -0.1447967 -0.2083785
Moved 1078.017 326.7732 366.0618 -0.07691388 -0.005938026
Moved 1078.066 337.6882 413.8174 -0.05164767 0.1403719
Moved 1078.115 341 434.9611 -0.04398147 0.2051505
Moved 1078.167 343 445.9138 -0.03935183 0.2387066
Moved 1078.22 343 451.1265 -0.03935183 0.2546767
Moved 1078.266 343 453.6208 -0.03935183 0.2623186
Moved 1078.313 336.5238 454 -0.05434309 0.2634804
Moved 1078.361 315.6298 439.3499 -0.1027087 0.2185966
Moved 1078.41 266.485 403.9042 -0.2164699 0.1100006
Moved 1078.458 235.5 377 -0.2881945 0.02757353
Moved 1078.534 216.6739 356.6739 -0.3317734 -0.0347
Moved 1078.582 213.5 352.5 -0.3391204 -0.04748775
Moved 1078.63 212 350.5 -0.3425926 -0.0536152
Moved 1078.68 211 348.6266 -0.3449074 -0.05935473
Moved 1078.726 210 347.6803 -0.3472222 -0.06225399
Moved 1078.772 209 346.8032 -0.349537 -0.06494111
Stationary 1078.818 209 347 -0.349537 -0.06433815
Ended 1078.872 209 347 -0.349537 -0.06433815
PhraseEnd 1080.089
